10/10/18 05:07:53 INFO input.FileInputFormat: Total input paths to process : 1
10/10/18 05:07:53 INFO mapred.JobClient: Running job: job_201010172132_0008
10/10/18 06:44:14 INFO mapred.JobClient:  map 65% reduce 21%
10/10/18 06:44:29 INFO mapred.JobClient:  map 66% reduce 21%
10/10/18 06:45:17 INFO mapred.JobClient:  map 67% reduce 21%
10/10/18 06:46:08 INFO mapred.JobClient:  map 68% reduce 21%
10/10/18 06:50:48 INFO mapred.JobClient:  map 68% reduce 22%
10/10/18 06:51:15 INFO mapred.JobClient:  map 69% reduce 22%
10/10/18 06:52:06 INFO mapred.JobClient:  map 70% reduce 22%
10/10/18 06:52:45 INFO mapred.JobClient:  map 71% reduce 22%
10/10/18 06:54:33 INFO mapred.JobClient:  map 71% reduce 23%
10/10/18 06:54:57 INFO mapred.JobClient:  map 72% reduce 23%
10/10/18 06:55:33 INFO mapred.JobClient:  map 73% reduce 23%
10/10/18 06:56:09 INFO mapred.JobClient:  map 74% reduce 23%
10/10/18 06:57:57 INFO mapred.JobClient:  map 74% reduce 24%
10/10/18 06:58:27 INFO mapred.JobClient:  map 75% reduce 24%
10/10/18 06:59:03 INFO mapred.JobClient:  map 76% reduce 24%
10/10/18 06:59:42 INFO mapred.JobClient:  map 77% reduce 24%
10/10/18 07:01:12 INFO mapred.JobClient:  map 77% reduce 25%
10/10/18 07:01:48 INFO mapred.JobClient:  map 78% reduce 25%
10/10/18 07:02:24 INFO mapred.JobClient:  map 79% reduce 25%
10/10/18 07:03:04 INFO mapred.JobClient:  map 80% reduce 25%
10/10/18 07:04:31 INFO mapred.JobClient:  map 80% reduce 26%
10/10/18 07:05:25 INFO mapred.JobClient:  map 81% reduce 26%
10/10/18 07:06:19 INFO mapred.JobClient:  map 82% reduce 26%
10/10/18 07:11:13 INFO mapred.JobClient:  map 83% reduce 26%
10/10/18 07:11:25 INFO mapred.JobClient:  map 83% reduce 27%
10/10/18 07:12:28 INFO mapred.JobClient:  map 84% reduce 27%
10/10/18 07:13:16 INFO mapred.JobClient:  map 85% reduce 27%
10/10/18 07:15:16 INFO mapred.JobClient:  map 85% reduce 28%
10/10/18 07:15:28 INFO mapred.JobClient:  map 86% reduce 28%
10/10/18 07:16:05 INFO mapred.JobClient:  map 87% reduce 28%
10/10/18 07:16:44 INFO mapred.JobClient:  map 88% reduce 28%
10/10/18 07:18:44 INFO mapred.JobClient:  map 88% reduce 29%
10/10/18 07:18:59 INFO mapred.JobClient:  map 89% reduce 29%
10/10/18 07:19:38 INFO mapred.JobClient:  map 90% reduce 29%
10/10/18 07:20:14 INFO mapred.JobClient:  map 91% reduce 29%
10/10/18 07:21:53 INFO mapred.JobClient:  map 91% reduce 30%
10/10/18 07:22:26 INFO mapred.JobClient:  map 92% reduce 30%
10/10/18 07:23:17 INFO mapred.JobClient:  map 93% reduce 30%
10/10/18 07:24:08 INFO mapred.JobClient:  map 94% reduce 30%
10/10/18 07:28:41 INFO mapred.JobClient:  map 94% reduce 31%
10/10/18 07:29:05 INFO mapred.JobClient:  map 95% reduce 31%
10/10/18 07:29:53 INFO mapred.JobClient:  map 96% reduce 31%
10/10/18 07:30:36 INFO mapred.JobClient:  map 97% reduce 31%
10/10/18 07:32:18 INFO mapred.JobClient:  map 97% reduce 32%
10/10/18 07:32:48 INFO mapred.JobClient:  map 98% reduce 32%
10/10/18 07:33:21 INFO mapred.JobClient:  map 99% reduce 32%
10/10/18 07:35:15 INFO mapred.JobClient:  map 100% reduce 32%
10/10/18 07:35:27 INFO mapred.JobClient:  map 100% reduce 33%
10/10/18 07:37:33 INFO mapred.JobClient:  map 100% reduce 66%
10/10/18 07:37:51 INFO mapred.JobClient:  map 100% reduce 67%
10/10/18 07:38:57 INFO mapred.JobClient:  map 100% reduce 68%
10/10/18 07:40:00 INFO mapred.JobClient:  map 100% reduce 69%
10/10/18 07:41:00 INFO mapred.JobClient:  map 100% reduce 70%
10/10/18 07:42:00 INFO mapred.JobClient:  map 100% reduce 71%
10/10/18 07:43:00 INFO mapred.JobClient:  map 100% reduce 72%
10/10/18 07:44:03 INFO mapred.JobClient:  map 100% reduce 73%
10/10/18 07:45:04 INFO mapred.JobClient:  map 100% reduce 74%
10/10/18 07:46:04 INFO mapred.JobClient:  map 100% reduce 75%
10/10/18 07:47:01 INFO mapred.JobClient:  map 100% reduce 76%
10/10/18 07:48:04 INFO mapred.JobClient:  map 100% reduce 77%
10/10/18 07:49:07 INFO mapred.JobClient:  map 100% reduce 78%
10/10/18 07:50:07 INFO mapred.JobClient:  map 100% reduce 79%
10/10/18 07:51:07 INFO mapred.JobClient:  map 100% reduce 80%
10/10/18 07:52:07 INFO mapred.JobClient:  map 100% reduce 81%
10/10/18 07:53:04 INFO mapred.JobClient:  map 100% reduce 82%
10/10/18 07:54:10 INFO mapred.JobClient:  map 100% reduce 83%
